Function,Mathics3,Git,Category,Example
ReliefPlot,limited,no,Image,"ReliefPlot[Sin[x y],{x,-2,2},{y,-2,2}]"
RootLocusPlot,no,no,Specialized,"RootLocusPlot[TransferFunctionModel[1/(s (s+1)),s],{k,0,10}]"
Show,yes,yes,Graphics,"Show[Plot[Sin[x],{x,0,2 Pi}],Plot[Cos[x],{x,0,2 Pi}]]"
SliceContourPlot3D,no,no,3D Field & Volume Plots,
SliceDensityPlot3D,no,no,3D Field & Volume Plots,
SliceVectorPlot3D,no,no,3D Field & Volume Plots,
SmoothHistogram,limited,no,Statistical,"SmoothHistogram[RandomVariate[NormalDistribution[],200]]"
Spectrogram,no,no,Audio,"Spectrogram[Audio[RandomReal[1,{44100}]]]"
Sphere,partial,yes,Graphics Primitive,"Graphics3D[Sphere[{0,0,0},1]]"
SphericalPlot3D,yes,no,Basic 3D Plotting,"SphericalPlot3D[r,{θ,0,Pi},{φ,0,2 Pi}]"
StreamPlot,yes,no,Contour & Density,"StreamPlot[{y,-x},{x,-2,2},{y,-2,2}]"
StreamPlot3D,no,no,3D Field & Volume Plots,
Text,yes,yes,Graphics Primitive,"Graphics[Text[""Hello"",{0.5,0.5}]]"
TradingChart,no,no,Financial,"TradingChart[FinancialData[""AAPL""]]"
TreePlot,no,no,Graph,"TreePlot[{1->2,1->3,3->4}]"
Tube,partial,yes,Graphics Primitive,"Graphics3D[Tube[{{0,0,0},{1,1,1}}]]"
VectorPlot,yes,no,Contour & Density,"VectorPlot[{y,-x},{x,-2,2},{y,-2,2}]"
VectorPlot3D,no,no,3D Field & Volume Plots,
VoronoiMesh,limited,no,Region,"VoronoiMesh[RandomReal[1,{10,2}]]"
