Function,Mathics3,Category,Example
LayeredGraphPlot,no,Graph,"LayeredGraphPlot[{1->2,1->3,3->4}]"
Line,yes,Graphics Primitive,"Graphics[Line[{{0,0},{1,1}}]]"
ListContourPlot,no,Contour & Density,"ListContourPlot[RandomReal[1,{20,20}]]"
ListDensityPlot,no,Contour & Density,"ListDensityPlot[RandomReal[1,{20,20}]]"
ListLinePlot,yes,Basic 2D Plotting,"ListLinePlot[{1,4,2,5,3}]"
ListLinePlot3D,no,Basic 3D Plotting,"ListLinePlot3D[{{0,0,0},{1,1,1},{2,1,0}}]"
ListPlot,yes,Basic 2D Plotting,"ListPlot[{1,4,2,5,3}]"
ListPlot3D,yes,Basic 3D Plotting,"ListPlot3D[Table[{x,y,Sin[x y]},{x,0,3},{y,0,3}]]"
ListPointPlot3D,limited,Basic 3D Plotting,"ListPointPlot3D[{{0,0,0},{1,1,1}}]"
ListStepPlot,yes,Basic 2D Plotting,"ListStepPlot[{1,4,2,5,3}]"
ListStreamPlot,no,Contour & Density,"ListStreamPlot[RandomReal[1,{10,10,2}]]"
ListSurfacePlot3D,no,Basic 3D Plotting,"ListSurfacePlot3D[RandomReal[1,{20,20}]]"
ListVectorPlot,no,Contour & Density,"ListVectorPlot[RandomReal[1,{10,10,2}]]"
MFCCPlot,no,Audio,"MFCCPlot[Audio[RandomReal[1,{44100}]]]"
Manipulate,no,Interactive,"Manipulate[Plot[a x,{x,0,1}],{a,0,5}]"
MatrixPlot,yes,Image,"MatrixPlot[RandomReal[1,20,20]]"
NumberLinePlot,yes,Specialized,"NumberLinePlot[{1,3,4}]"
NyquistPlot,no,Specialized,"NyquistPlot[TransferFunctionModel[1/(s (s+1)),s]]"
ParametricPlot,yes,Basic 2D Plotting,"ParametricPlot[{Cos[t],Sin[t]},{t,0,2 Pi}]"
ParametricPlot3D,yes,Basic 3D Plotting,"ParametricPlot3D[{Cos[t],Sin[t],t/4},{t,0,8 Pi}]"
Periodogram,no,Audio,"Periodogram[Audio[RandomReal[1,{44100}]]]"
PieChart,yes,Statistical,"PieChart[{3,2,5}]"
Plot,yes,Basic 2D Plotting,"Plot[Sin[x], {x, 0, 2 Pi}]"
Plot3D,yes,Basic 3D Plotting,"Plot3D[Sin[x y],{x,-2,2},{y,-2,2}]"
Point,yes,Graphics Primitive,"Graphics[Point[{1,1}]]"
PolarPlot,yes,Basic 2D Plotting,"PolarPlot[1+0.5 Cos[3 θ],{θ,0,2 Pi}]"
PoleZeroPlot,no,Specialized,"PoleZeroPlot[TransferFunctionModel[1/(s (s+1)),s]]"
Polygon,yes,Graphics Primitive,"Graphics[Polygon[{{0,0},{1,0},{0,1}}]]"
Raster,yes,Image,"Raster[RandomReal[1,{10,10}]]"
Rectangle,yes,Graphics Primitive,"Graphics[Rectangle[{0,0},{1,1}]]"
RegionPlot,yes,Region,"RegionPlot[x^2+y^2<1,{x,-1,1},{y,-1,1}]"
RegionPlot3D,partial,Region,"RegionPlot3D[x^2+y^2+z^2<1,{x,-1,1},{y,-1,1},{z,-1,1}]"
ReliefPlot,limited,Image,"ReliefPlot[Sin[x y],{x,-2,2},{y,-2,2}]"
RootLocusPlot,no,Specialized,"RootLocusPlot[TransferFunctionModel[1/(s (s+1)),s],{k,0,10}]"
Show,yes,Graphics,"Show[Plot[Sin[x],{x,0,2 Pi}],Plot[Cos[x],{x,0,2 Pi}]]"
SmoothHistogram,limited,Statistical,"SmoothHistogram[RandomVariate[NormalDistribution[],200]]"
Spectrogram,no,Audio,"Spectrogram[Audio[RandomReal[1,{44100}]]]"
Sphere,partial,Graphics Primitive,"Graphics3D[Sphere[{0,0,0},1]]"
SphericalPlot3D,yes,Basic 3D Plotting,"SphericalPlot3D[r,{θ,0,Pi},{φ,0,2 Pi}]"
StreamPlot,yes,Contour & Density,"StreamPlot[{y,-x},{x,-2,2},{y,-2,2}]"
Text,yes,Graphics Primitive,"Graphics[Text[""Hello"",{0.5,0.5}]]"
TradingChart,no,Financial,"TradingChart[FinancialData[""AAPL""]]"
TreePlot,no,Graph,"TreePlot[{1->2,1->3,3->4}]"
Tube,partial,Graphics Primitive,"Graphics3D[Tube[{{0,0,0},{1,1,1}}]]"
VectorPlot,yes,Contour & Density,"VectorPlot[{y,-x},{x,-2,2},{y,-2,2}]"
VoronoiMesh,limited,Region,"VoronoiMesh[RandomReal[1,{10,2}]]"
